Initialized in 0.000016 s
Acceleration calculated in 0.000892 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000899 s
Solution calculated in 0.000050 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000895 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000865 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000881 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000896 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000806 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000889 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000883 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000883 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000846 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000898 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000893 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000888 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000859 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000893 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000882 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000860 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000047 s
Acceleration calculated in 0.000891 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000924 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000896 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000794 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000815 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000883 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000881 s
Solution calculated in 0.000040 s
Acceleration calculated in 0.000860 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000887 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000939 s
Solution calculated in 0.000031 s
Problem solved in 0.089647 s, 0.000896 per timestep with 1000 particles
Output written in 0.003561 s
Program finished in 0.093646 s. Exiting...
17	0.093647
Initialized in 0.000019 s
Input read in 0.000333 s
Threads setup in 0.000051 s
Acceleration calculated in 0.001631 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000790 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000778 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000872 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000880 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000057 s
Acceleration calculated in 0.000868 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000877 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000775 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000767 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000762 s
Solution calculated in 0.000054 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000877 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000890 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000767 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000882 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000871 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000763 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000865 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000869 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000872 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000777 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000783 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000856 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000901 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000866 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000807 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000866 s
Solution calculated in 0.000045 s
Acceleration calculated in 0.000872 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000883 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000792 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000860 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000874 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000043 s
Acceleration calculated in 0.000858 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000880 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000845 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000859 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000863 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000859 s
Solution calculated in 0.000045 s
Acceleration calculated in 0.000793 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000873 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000851 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000871 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000806 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000881 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000868 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000805 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000829 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000761 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000868 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000863 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000782 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000876 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000859 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000855 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000828 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000869 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000866 s
Solution calculated in 0.000057 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000033 s
Problem solved in 0.087961 s, 0.000880 per timestep with 1000 particles
Output written in 0.003632 s
Program finished in 0.092044 s. Exiting...
18	0.092045
Initialized in 0.000016 s
Input read in 0.000370 s
Threads setup in 0.000053 s
Acceleration calculated in 0.001570 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000747 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000763 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000747 s
Solution calculated in 0.000055 s
Acceleration calculated in 0.000844 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000846 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000752 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000742 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000849 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000853 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000744 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000747 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000815 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000832 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000853 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000747 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000878 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000853 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000799 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000841 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000827 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000823 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000841 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000801 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000808 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000844 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000801 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000828 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000809 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000817 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000801 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000852 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000746 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000802 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000845 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000842 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000746 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000842 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000842 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000826 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000760 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000747 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000757 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000855 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000870 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000745 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000762 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000854 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000864 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000823 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000746 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000842 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000861 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000857 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000762 s
Solution calculated in 0.000034 s
Problem solved in 0.085247 s, 0.000852 per timestep with 1000 particles
Output written in 0.003448 s
Program finished in 0.089175 s. Exiting...
19	0.089176
Initialized in 0.000018 s
Input read in 0.000334 s
Threads setup in 0.000058 s
Acceleration calculated in 0.001673 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000756 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000057 s
Acceleration calculated in 0.000758 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000780 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000866 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000741 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000790 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000845 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000744 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000825 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000832 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000739 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000854 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000845 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000828 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000775 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000827 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000740 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000846 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000821 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000844 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000790 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000777 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000832 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000824 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000780 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000821 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000855 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000821 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000811 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000824 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000851 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000820 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000832 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000789 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000817 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000808 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000802 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000821 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000793 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000829 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000762 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000824 s
Solution calculated in 0.000034 s
Problem solved in 0.084081 s, 0.000841 per timestep with 1000 particles
Output written in 0.008412 s
Program finished in 0.092947 s. Exiting...
20	0.092949
Initialized in 0.000016 s
Input read in 0.000436 s
Threads setup in 0.000059 s
Acceleration calculated in 0.001613 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000749 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000797 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000717 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000742 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000794 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000801 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000791 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000813 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000710 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000718 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000797 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000805 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000763 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000797 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000820 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000788 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000788 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000804 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000799 s
Solution calculated in 0.000054 s
Acceleration calculated in 0.000794 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000783 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000739 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000768 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000787 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000795 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000795 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000741 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000787 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000807 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000790 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000743 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000797 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000826 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000795 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000742 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000790 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000786 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000796 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000823 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000709 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000811 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000806 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000787 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000806 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000817 s
Solution calculated in 0.000034 s
